key,en,sk
dialogue.old_lady_agnes.say_town_reply.text,"Quiet? Oh, it's [i]FULL[/i] of things! There's the [color=#6b8e5e]church[/color] up north where [color=#8a6ca8]Father Cuthbert[/color] talks to himself. The [color=#6b8e5e]tavern[/color] where [color=#8a6ca8]Bertram[/color] serves water and calls it stew. And the [color=#6b8e5e]farm[/color] has three pigs who think they're people.","Pokojné? Och, je to tu [i]PLNÉ[/i] vecí! Na severe je [color=#6b8e5e]kostol[/color], kde sa [color=#8a6ca8]Otec Cuthbert[/color] rozpráva sám so sebou. [color=#6b8e5e]Krčma[/color], kde [color=#8a6ca8]Bertram[/color] podáva vodu a hovorí tomu guláš. A na [color=#6b8e5e]farme[/color] sú tri prasatá, čo si myslia, že sú ľudia."
dialogue.old_lady_agnes.option_scarecrow.label,What about the scarecrow?,A čo ten strašiak?
dialogue.old_lady_agnes.say_pigeon_scarecrow.text,I saw a scarecrow [color=#6b8e5e]in the field[/color]. He was... screaming.,Videl som strašiaka [color=#6b8e5e]na poli[/color]. On... kričal.
dialogue.old_lady_agnes.say_cornelius_gossip.text,"Poor [color=#8a6ca8]Cornelius[/color]... he's been standing in that field for [i]THIRTY YEARS[/i]. Nobody visits him. He just yells at birds all day. I think he's lonely, but don't tell him I said that.","Chudák [color=#8a6ca8]Cornelius[/color]... stojí na tom poli už [i]TRIDSAŤ ROKOV[/i]. Nikto ho nenavštevuje. Celé dni len kričí na vtáky. Myslím, že je osamelý, ale nepovedz mu, že som to povedala."
dialogue.old_lady_agnes.option_graveyard.label,Anyone in the graveyard?,Je niekto na cintoríne?
dialogue.old_lady_agnes.say_pigeon_grave.text,Is there anything going on in the [color=#6b8e5e]graveyard[/color]? It looks... odd.,Deje sa niečo na [color=#6b8e5e]cintoríne[/color]? Vyzerá... čudne.
dialogue.old_lady_agnes.say_grave_reply.text,I've heard strange noises from there at night. Could be the wind. Could be [color=#a8554c]ghosts[/color]. I don't go near it. My knees can't handle running away.,"Počula som odtiaľ v noci zvláštne zvuky. Možno vietor. Možno [color=#a8554c]duchovia[/color]. Ja tam nechodím. Moje kolená by útek nezvládli."
dialogue.old_lady_agnes.say_goodbye.text,"Oh, please come back and talk to me again! You're the best conversation I've had since the goat escaped in '08.","Och, prosím, ešte sa niekedy vráť porozprávať! Si tá najlepšia spoločnosť, akú som mala odvtedy, čo nám v ôsmom ušla koza."
dialogue.pig_hamlet.say_prophet_short.text,The [color=#a8554c]prophet[/color] returns. I have been composing a sonnet in your honor. It is not finished. It may never be.,"[color=#a8554c]Prorok[/color] sa vracia. Skladám ti sonet na počesť. Ešte nie je hotový. Možno nikdy nebude."
dialogue.pig_hamlet.say_prophet.text,"A [color=#a8554c]PROPHET[/color]! Tell me, wise one. Is there meaning beyond the trough? Is there a world past the fence?","[color=#a8554c]PROROK[/color]! Povedz mi, múdry tvor. Je nejaký zmysel aj za válovom? Je tam svet aj za plotom?"
dialogue.pig_hamlet.say_pigeon_meaning.text,I've seen beyond the fence. There's a field and some more mud.,Videl som za plot. Je tam pole a ešte viac blata.
dialogue.pig_hamlet.say_beautiful.text,A field... and mud... How [i]BEAUTIFULLY[/i] simple. The universe gives us only what we need.,"Pole... a blato... Aké [i]KRÁSNE[/i] jednoduché. Vesmír nám dáva len to, čo potrebujeme."
dialogue.pig_hamlet.say_return_short.text,I have had more thoughts. About the trough. About the fence. About [i]EVERYTHING[/i].,Mal som ďalšie myšlienky. O válove. O plote. O [i]VŠETKOM[/i].
dialogue.pig_hamlet.say_return_hi.text,"Ah, the pigeon returns. I have been thinking about the nature of flight. You can fly. I cannot. And yet we both eat from the ground. What does that [i]MEAN[/i]?","Ach, holub sa vracia. Premýšľal som o povahe letu. Ty vieš lietať. Ja nie. A predsa obaja jeme zo zeme. Čo to [i]ZNAMENÁ[/i]?"
dialogue.pig_hamlet.say_pigeon_nothing.text,I think it means we both like food.,"Myslím, že to znamená, že máme obaja radi jedlo."
dialogue.pig_hamlet.say_deep.text,[i]EXACTLY.[/i] Food is the great equalizer. The trough does not care if you have wings.,"[i]PRESNE TAK.[/i] Jedlo je veľký vyrovnávač. Válov nezaujíma, či máš krídla."
dialogue.pig_hamlet.say_pigeon_sure.text,"Sure, [color=#8a6ca8]Hamlet[/color].","Jasné, [color=#8a6ca8]Hamlet[/color]."
dialogue.pig_hamlet.say_farewell.text,"Go well, pigeon. And remember. To oink... is to [i]LIVE[/i].","Choď v pokoji, holub. A pamätaj. Chrochtať... znamená [i]ŽIŤ[/i]."
dialogue.pig_hamlet.say_monologue.text,To [i]OINK[/i]... or not to oink... [i]THAT[/i] is the question.,Chrochtať... či nechrochtať... [i]TO[/i] je otázka.
dialogue.pig_hamlet.say_monologue_2.text,Whether it is nobler in the trough to suffer the slops of outrageous fortune...,Či je vznešenejšie vo válove trpieť splašky krutej nepriazne osudu...
dialogue.pig_hamlet.option_question.label,That IS the question,To JE tá otázka
dialogue.pig_hamlet.say_pigeon_yes.text,You know what? That [i]IS[/i] the question. To oink or not to oink. Deep stuff.,Vieš čo? To [i]JE[/i] tá otázka. Chrochtať či nechrochtať. Hlboké.
dialogue.pig_hamlet.say_delighted.text,Finally! A [i]KINDRED SPIRIT[/i]! Someone who [i]UNDERSTANDS[/i] the weight of existence!,"Konečne! [i]SPRIAZNENÁ DUŠA[/i]! Niekto, kto [i]ROZUMIE[/i] váhe existencie!"
dialogue.pig_hamlet.say_weight.text,[color=#8a6ca8]Oinksworth[/color] thinks I'm being dramatic. But is it dramatic to ask [i]WHY[/i] we eat from a trough? Is it dramatic to wonder what lies beyond the fence?,"[color=#8a6ca8]Oinksworth[/color] si myslí, že som dramatický. Ale je dramatické pýtať sa [i]PREČO[/i] jeme z válova? Je dramatické rozmýšľať, čo leží za plotom?"
dialogue.pig_hamlet.say_pigeon_fence.text,"More mud, mostly.","Hlavne viac blata."
dialogue.pig_hamlet.say_poetic.text,...Poetic.,...Poetické.
dialogue.pig_hamlet.option_stop.label,Please stop,"Prosím, prestaň"
dialogue.pig_hamlet.say_pigeon_stop.text,Please stop. I just walked over to say hello.,"Prosím, prestaň. Len som prišiel pozdraviť."
dialogue.pig_hamlet.say_hurt.text,The world is full of those who cannot see [i]ART[/i]. But art does not stop for them. Art [i]OINKS[/i] on.,"Svet je plný tých, čo nevidia [i]UMENIE[/i]. Ale umenie kvôli nim neprestane. Umenie [i]CHROCHTÁ[/i] ďalej."
dialogue.pig_hamlet.say_pigeon_oinks.text,Did you just say art oinks on?,"Ty si práve povedal, že umenie chrochtá ďalej?"
dialogue.pig_hamlet.say_yes.text,I did. And I meant every word.,Povedal. A myslel som každé slovo.
dialogue.pig_sir_oinksworth.say_knight_short.text,Sir Pigeon! The empire endures! ...How many puddles now?,Sir Holub! Ríša trvá! ...Koľko mlák už máme?
dialogue.pig_sir_oinksworth.say_knight_return.text,Sir Pigeon! How goes the knighting? Have you conquered any lands? Claimed any puddles?,Sir Holub! Ako pokračuje rytierovanie? Dobil si už nejaké územia? Privlastnil si si nejaké mláky?
dialogue.pig_sir_oinksworth.say_pigeon_puddle.text,I found a nice puddle [color=#6b8e5e]by the well[/color]. I'm claiming that one.,Našiel som peknú mláku [color=#6b8e5e]pri studni[/color]. Tú si nárokujem.
dialogue.pig_sir_oinksworth.say_excellent.text,[i]EXCELLENT![/i] The empire grows! Soon we shall have [i]TWO[/i] puddles!,[i]VÝBORNE![/i] Ríša rastie! Čoskoro budeme mať [i]DVE[/i] mláky!
dialogue.pig_sir_oinksworth.say_title_offer.text,"Pigeon! For your loyal service and good manners, I shall grant you a [color=#a8554c]title[/color]. Kneel! ...Or just stand there. Birds don't have knees.","Holub! Za tvoju vernú službu a dobré spôsoby ti udelím [color=#a8554c]titul[/color]. Kľakni! ...Alebo tam len stoj. Vtáky nemajú kolená."
dialogue.pig_sir_oinksworth.option_decline.label,"I'm good, thanks","To je v pohode, vďaka"
dialogue.pig_sir_oinksworth.say_pigeon_decline.text,"That's kind of you, but I don't really need a [color=#a8554c]title[/color].","To je milé, ale ja ten [color=#a8554c]titul[/color] vlastne nepotrebujem."
dialogue.pig_sir_oinksworth.say_shocked.text,Refusing a [color=#a8554c]title[/color]?! Unheard of! The offer stands. Come back when you've come to your senses.,"Odmietnuť [color=#a8554c]titul[/color]?! Neslýchané! Ponuka stále platí. Vráť sa, keď dostaneš rozum."
dialogue.pig_sir_oinksworth.option_accept.label,I accept the title,Prijímam titul
dialogue.pig_sir_oinksworth.say_pigeon_accept.text,Sure. Why not. [color=#a8554c]Knight[/color] me.,Jasné. Prečo nie. Pasuj ma na [color=#a8554c]rytiera[/color].
dialogue.pig_sir_oinksworth.say_dub.text,"I dub thee [color=#8a6ca8]Sir Pigeon of the Puddle[/color], [color=#a8554c]Knight[/color] of the [color=#6b8e5e]Crossroads[/color]! Rise! ...You're already standing. Good enough!","Pasujem ťa na [color=#8a6ca8]Sira Holuba z Mlák[/color], [color=#a8554c]Rytiera[/color] [color=#6b8e5e]Križovatky[/color]! Vstaň! ...Veď už stojíš. To stačí!"
dialogue.pig_sir_oinksworth.say_pigeon_thanks.text,I'm honored. I think.,Som poctený. Asi.
dialogue.pig_sir_oinksworth.say_cold_short.text,Still rude. Still remembered. [color=#8a6ca8]Hamlet[/color] is still not glaring. Disappointing all around.,Stále drzý. Stále zapamätané. [color=#8a6ca8]Hamlet[/color] sa stále netvári prísne. Jedno sklamanie za druhým.
dialogue.pig_sir_oinksworth.say_cold.text,Oh. It's the rude one. I have not forgotten your insult. [color=#8a6ca8]Hamlet[/color] has been told to glare at you.,"Ach. To si ty, ten drzý. Na tvoju urážku som nezabudol. [color=#8a6ca8]Hamlet[/color] dostal rozkaz na teba zazerať."
dialogue.pig_sir_oinksworth.say_pigeon_sorry.text,Is he? He looks like he's doing a monologue.,"Naozaj? Vyzerá skôr, že recituje monológ."
dialogue.pig_sir_oinksworth.say_always.text,He's [i]ALWAYS[/i] doing a monologue. Very hard to get good guards around here.,On má [i]VŽDY[/i] monológ. Je ťažké zohnať tu poriadnu stráž.
dialogue.pig_sir_oinksworth.say_prophet_short.text,The prophecy still stands. As do I. In this mud.,Proroctvo stále platí. A ja tiež stále stojím. V tomto blate.
dialogue.pig_sir_oinksworth.say_prophet.text,I hear the priest called you a [color=#a8554c]PROPHET[/color]. A [color=#a8554c]prophet[/color]! In [i]MY[/i] pen! I demand a royal blessing at once!,"Počul som, že ťa kňaz nazval [color=#a8554c]PROROKOM[/color]. [color=#a8554c]Prorok[/color]! V [i]MOJOM[/i] chlieviku! Okamžite žiadam kráľovské požehnanie!"
dialogue.pig_sir_oinksworth.say_pigeon_prophet.text,I bless your mud.,Žehnám tvojmu blatu.
dialogue.pig_sir_oinksworth.say_satisfied.text,"[i]EXCELLENT.[/i] The mud is now [color=#a8554c]holy mud[/color]. This changes everything. Well, nothing. But it feels important.","[i]VÝBORNE.[/i] To blato je teraz [color=#a8554c]sväté blato[/color]. To mení všetko. Teda nič. Ale pôsobí to dôležito."
dialogue.pig_sir_oinksworth.say_halt.text,"[shake rate=30.0 level=20]HALT![/shake] State your name and [color=#a8554c]title[/color] before the Third of His Name, [color=#8a6ca8]Sir Oinksworth[/color], Lord of the [color=#6b8e5e]Mud Patch[/color], Duke of the [color=#6b8e5e]Feed Bin[/color]!","[shake rate=30.0 level=20]STOJ![/shake] Uveď svoje meno a [color=#a8554c]titul[/color] pred Tretím svojho mena, [color=#8a6ca8]Sirom Oinksworthom[/color], Pánom [color=#6b8e5e]Blatnej Škvrny[/color], Vojvodom [color=#6b8e5e]Kŕmneho Koryta[/color]!"
dialogue.pig_sir_oinksworth.option_pig.label,You're a pig in a pen,Si prasa v chlieviku
dialogue.pig_sir_oinksworth.say_pigeon_pig.text,You're a pig. In a pen. With mud on your face.,Si prasa. V chlieviku. A máš blato na tvári.
dialogue.pig_sir_oinksworth.say_outrage.text,[shake rate=30.0 level=20]HOW DARE![/shake] Guards! Seize this bird! ...We don't have guards. [shake rate=30.0 level=20][color=#8a6ca8]HAMLET[/color]! BE A GUARD![/shake],"[shake rate=30.0 level=20]AKÁ DRZOSŤ![/shake] Stráže! Chyťte toho vtáka! ...Nemáme stráže. [shake rate=30.0 level=20][color=#8a6ca8]HAMLET[/color]! ROB STRÁŽ![/shake]"
dialogue.pig_sir_oinksworth.say_hamlet.text,...[color=#8a6ca8]Hamlet[/color] is doing a monologue. Useless. You may go. But I shall [i]REMEMBER[/i] this insult.,"...[color=#8a6ca8]Hamlet[/color] má monológ. Nepoužiteľný. Môžeš ísť. Ale túto urážku si [i]ZAPAMÄTÁM[/i]."
dialogue.pig_sir_oinksworth.option_majesty.label,Your Majesty,Vaše Veličenstvo
dialogue.pig_sir_oinksworth.say_pigeon_bow.text,"My apologies, Your Majesty. I am but a humble pigeon passing through your... lands.","Ospravedlňujem sa, Vaše Veličenstvo. Som len skromný holub, čo prechádza vašimi... panstvami."
dialogue.pig_sir_oinksworth.say_pleased.text,"Ah! Finally, someone with [i]BREEDING[/i]. You may stay. But do not touch the mud. That is [color=#a8554c]royal mud[/color].","Ach! Konečne niekto s [i]VÝCHOVOU[/i]. Môžeš zostať. Ale nedotýkaj sa blata. To je [color=#a8554c]kráľovské blato[/color]."
dialogue.pig_truffles.say_return_short.text,Still digging. Still smells great down here. Snff.,Stále hrabem. Stále to tu dole nádherne vonia. Snff.
dialogue.pig_truffles.say_found.text,I found something near the [color=#6b8e5e]church[/color]! It smells like... soil and regret. And mushrooms. Lots of mushrooms.,"Našiel som niečo pri [color=#6b8e5e]kostole[/color]! Vonia to ako... hlina a ľútosť. A huby. Veľa húb."
dialogue.pig_truffles.say_pigeon_church.text,Near the [color=#6b8e5e]church[/color]? That's close to the [color=#6b8e5e]graveyard[/color].,"Pri [color=#6b8e5e]kostole[/color]? To je blízko [color=#6b8e5e]cintorína[/color]."
dialogue.pig_truffles.say_better.text,Even [i]BETTER![/i] Dead things make the best soil! And the best soil makes the best [i]TRUFFLES[/i]! It's the circle of life!,"To je ešte [i]LEPŠIE![/i] Mŕtve veci robia najlepšiu pôdu! A najlepšia pôda robí najlepšie [i]HĽUZOVKY[/i]! To je kolobeh života!"
dialogue.pig_truffles.say_pigeon_circle.text,That's... one way to look at it.,To je... jeden pohľad na vec.
dialogue.pig_truffles.say_sniff_2.text,"Snff... I can smell you too, by the way. You smell like [color=#a8554c]breadcrumbs[/color] and [i]ADVENTURE[/i].","Snff... mimochodom cítim aj teba. Voniaš ako [color=#a8554c]omrvinky[/color] a [i]DOBRODRUŽSTVO[/i]."
dialogue.pig_truffles.say_pigeon_thanks.text,Thanks. I think.,Vďaka. Asi.
dialogue.pig_truffles.say_ghost_short.text,That [color=#6b8e5e]graveyard[/color] still smells interesting. [color=#a8554c]Ghosts[/color] or no [color=#a8554c]ghosts[/color].,Ten [color=#6b8e5e]cintorín[/color] stále vonia zaujímavo. [color=#a8554c]Duchovia[/color] či neduchovia.
dialogue.pig_truffles.say_ghost.text,I heard there are [color=#a8554c]ghosts[/color] near the [color=#6b8e5e]church[/color]! I don't care. [color=#a8554c]Ghosts[/color] can't eat truffles. ...Can they?,"Počul som, že pri [color=#6b8e5e]kostole[/color] sú [color=#a8554c]duchovia[/color]! Mne je to jedno. [color=#a8554c]Duchovia[/color] hľuzovky jesť nevedia. ...Vedia?"
dialogue.pig_truffles.say_sniff.text,Snff... snfff... I smell something. [i]UNDERGROUND.[/i] Could be truffles. Could be a turnip. Could be a [color=#a8554c]body[/color].,Snff... snfff... niečo cítim. [i]POD ZEMOU.[/i] Môžu to byť hľuzovky. Môže to byť repa. Môže to byť [color=#a8554c]mŕtvola[/color].
dialogue.pig_truffles.option_what.label,What are you digging for?,Čo tam kopeš?
dialogue.pig_truffles.say_pigeon_what.text,What exactly are you digging for down there?,Čo tam presne dolu hľadáš?
dialogue.pig_truffles.say_everything.text,[i]EVERYTHING![/i] The ground is full of [i]SECRETS[/i]! And worms. Mostly worms. But sometimes secrets!,"[i]VŠETKO![/i] Zem je plná [i]TAJOMSTIEV[/i]! A červov. Hlavne červov. Ale občas aj tajomstiev!"
dialogue.pig_truffles.say_pigeon_worms.text,I like worms.,Mám rád červy.
dialogue.pig_truffles.say_bonding.text,See?! You get it! The ground provides for those who [i]DIG[/i]!,"Vidíš?! Ty tomu rozumieš! Zem dáva tým, čo [i]HRABÚ[/i]!"
dialogue.pig_truffles.option_dont.label,Maybe don't dig there,Možno tam nekopeš
dialogue.pig_truffles.say_pigeon_dont.text,Maybe you should stop digging. What if it really is a [color=#a8554c]body[/color]?,Možno by si mal prestať kopať. Čo ak je to naozaj [color=#a8554c]mŕtvola[/color]?
dialogue.pig_truffles.say_nose.text,My nose says [i]DIG[/i]. I trust my nose more than I trust [i]ANYTHING[/i]. My nose has never been wrong.,Môj nos hovorí [i]HRABAŤ[/i]. Svojmu nosu verím viac než [i]ČOMUKOĽVEK[/i]. Môj nos sa ešte nikdy nemýlil.
dialogue.pig_truffles.say_pigeon_never.text,Never?,Nikdy?
dialogue.pig_truffles.say_once.text,"Well, once it said there were truffles and it was a rock. But it was a very [i]TRUFFLE-LIKE[/i] rock.","No, raz tvrdil, že sú tam hľuzovky, a bol to kameň. Ale bol to veľmi [i]HĽUZOVKOVITÝ[/i] kameň."
dialogue.priest_cuthbert.say_knight_short.text,Sir [color=#a8554c]Prophet[/color] Pigeon! Still holy? Still knightly? Of course you are. Every day is a [color=#a8554c]holy day[/color]!,"Sir [color=#a8554c]Prorok[/color] Holub! Stále svätý? Stále rytiersky? Samozrejme, že áno. Každý deň je [color=#a8554c]sviatočný deň[/color]!"
dialogue.priest_cuthbert.say_return_knight.text,Wait. You... you are a [color=#a8554c]knight[/color] now too?!,Počkať. Ty... si teraz aj [color=#a8554c]rytier[/color]?!
dialogue.priest_cuthbert.say_pigeon_yep.text,A pig in a pen knighted me. It was a whole ceremony.,Pasovalo ma prasa v chlieviku. Bol z toho celý obrad.
dialogue.priest_cuthbert.say_holy_day_2.text,A [color=#a8554c]prophet[/color] [i]AND[/i] a [color=#a8554c]knight[/color]! The scrolls said nothing of this... but they [i]SHOULD[/i] have! I declare this a [color=#a8554c]holy day[/color]!,"[color=#a8554c]Prorok[/color] [i]AJ[/i] [color=#a8554c]rytier[/color]! Zvitky o tom nič nehovorili... ale [i]MALI[/i] hovoriť! Vyhlasujem tento deň za [color=#a8554c]sviatočný deň[/color]!"
dialogue.priest_cuthbert.say_pigeon_again.text,You seem to declare a lot of holy days.,"Zdá sa, že vyhlasuješ veľa sviatočných dní."
dialogue.priest_cuthbert.say_every_day.text,Every day could be holy if you [i]BELIEVE[/i] hard enough!,"Každý deň by mohol byť svätý, keby si [i]VERIL[/i] dosť silno!"
dialogue.priest_cuthbert.say_blessed_short.text,"The crops are still blessed! Or still rained on. Either way, praise be!","Úroda je stále požehnaná! Alebo stále zmoknutá. Tak či tak, chvála!"
dialogue.priest_cuthbert.say_blessed_return.text,The [color=#a8554c]prophet[/color] graces us again! The crops have been growing better since your blessing. Or maybe it rained. Hard to tell.,"[color=#a8554c]Prorok[/color] nás opäť poctil svojou prítomnosťou! Úroda rastie lepšie od tvojho požehnania. Alebo možno len pršalo. Ťažko povedať."
dialogue.priest_cuthbert.say_pigeon_rain.text,Probably the rain.,Skôr dážď.
dialogue.priest_cuthbert.say_faith.text,That's what a [color=#a8554c]prophet[/color] would say!,Presne to by povedal [color=#a8554c]prorok[/color]!
dialogue.priest_cuthbert.say_return_hello.text,"The [color=#a8554c]prophet[/color] returns! Oh, what a blessed day! Could you... bless something for us?","[color=#a8554c]Prorok[/color] sa vracia! Och, aký požehnaný deň! Mohol by si... niečo požehnať?"
dialogue.priest_cuthbert.option_bless.label,"Sure, I'll bless something","Jasné, niečo požehnám"
dialogue.priest_cuthbert.say_pigeon_bless.text,Fine. I bless this... ground. And that rock over there. You're all blessed.,Dobre. Žehnám tejto... zemi. A tomu kameňu tam. Všetci ste požehnaní.
dialogue.priest_cuthbert.say_bless_reply.text,[shake rate=30.0 level=20]MAGNIFICENT![/shake] Did you feel that? The air just got holier! I could weep!,[shake rate=30.0 level=20]VEĽKOLEPÉ![/shake] Cítil si to? Vzduch je zrazu svätejší! Mohol by som plakať!
dialogue.priest_cuthbert.option_no_bless.label,I don't have that power,Takú moc nemám
dialogue.priest_cuthbert.say_pigeon_no.text,I really don't think I can bless things. I'm a pigeon.,"Naozaj si nemyslím, že viem žehnať veci. Som holub."
dialogue.priest_cuthbert.say_humble.text,Such [i]HUMILITY[/i]! Truly divine! Only a real [color=#a8554c]prophet[/color] would deny their own power!,Taká [i]POKORA[/i]! Naozaj božské! Len skutočný [color=#a8554c]prorok[/color] by zapieral vlastnú moc!
dialogue.priest_cuthbert.say_shock_k.text,[shake rate=30.0 level=20]BY THE SAINTS![/shake] A [color=#a8554c]talking bird[/color]! [i]AND[/i] you carry a knightly [color=#a8554c]title[/color]?!,"[shake rate=30.0 level=20]PRI VŠETKÝCH SVÄTÝCH![/shake] [color=#a8554c]Hovoriaci vták[/color]! [i]A[/i] ty ešte nosíš rytiersky [color=#a8554c]titul[/color]?!"
dialogue.priest_cuthbert.say_pigeon_k.text,A pig gave it to me. Long story.,Dalo mi ho prasa. Dlhý príbeh.
dialogue.priest_cuthbert.say_holy_day.text,A [color=#a8554c]prophet[/color] [i]AND[/i] a [color=#a8554c]knight[/color]! The scrolls said nothing of this... but they [i]SHOULD[/i] have! I declare this a [color=#a8554c]holy day[/color]!,"[color=#a8554c]Prorok[/color] [i]AJ[/i] [color=#a8554c]rytier[/color]! Zvitky o tom nič nehovorili... ale [i]MALI[/i] hovoriť! Vyhlasujem tento deň za [color=#a8554c]sviatočný deň[/color]!"
dialogue.priest_cuthbert.say_pigeon_holy.text,Does that mean free [color=#a8554c]breadcrumbs[/color]?,Znamená to [color=#a8554c]omrvinky[/color] zadarmo?
dialogue.priest_cuthbert.say_no_bread.text,It means prayers! Which are better than [color=#a8554c]breadcrumbs[/color]!,Znamená to modlitby! A tie sú lepšie než [color=#a8554c]omrvinky[/color]!
dialogue.priest_cuthbert.say_pigeon_disagree.text,They are really not.,To teda vôbec nie sú.
dialogue.priest_cuthbert.say_shock.text,[shake rate=30.0 level=20]BY THE SAINTS![/shake] A [color=#a8554c]talking bird[/color]! The ancient scrolls foretold this!,[shake rate=30.0 level=20]PRI VŠETKÝCH SVÄTÝCH![/shake] [color=#a8554c]Hovoriaci vták[/color]! Starodávne zvitky to predpovedali!
dialogue.priest_cuthbert.option_scrolls.label,What scrolls?,Aké zvitky?
dialogue.priest_cuthbert.say_pigeon_scrolls.text,What scrolls? I just got here.,Aké zvitky? Ja som sem práve prišiel.
dialogue.priest_cuthbert.say_scrolls_reply.text,"The scrolls! The ones I keep behind the [color=#6b8e5e]altar[/color]! Well, it's mostly shopping lists. But one of them [i]DEFINITELY[/i] mentions a bird.","Tie zvitky! Tie, čo schovávam za [color=#6b8e5e]oltárom[/color]! Teda, väčšinou sú to nákupné zoznamy. Ale jeden z nich [i]URČITE[/i] spomína vtáka."
dialogue.priest_cuthbert.option_just_pigeon.label,I'm just a pigeon,Som len holub
dialogue.priest_cuthbert.say_pigeon_normal.text,I'm just a regular pigeon. Nothing special about me.,Som len obyčajný holub. Nič na mne nie je zvláštne.
dialogue.priest_cuthbert.say_normal_reply.text,That is [i]EXACTLY[/i] what the scroll says the divine messenger would say! Such humility!,Presne [i]TO[/i] podľa zvitku povie božský posol! Taká pokora!
dialogue.priest_cuthbert.say_prophet.text,"It is decided. You are the [color=#a8554c]feathered prophet[/color], sent to guide this village! I shall spread the word!","Je rozhodnuté. Ty si [color=#a8554c]operený prorok[/color], poslaný viesť túto dedinu! Rozhlásim to!"
dialogue.priest_cuthbert.say_pigeon_ok.text,"I was looking for [color=#a8554c]breadcrumbs[/color], but sure.","Ja som hľadal [color=#a8554c]omrvinky[/color], ale dobre."
dialogue.scarecrow_cornelius.say_friend_short.text,...You're here. Good. Now stop standing around. You're making me look lazy.,...Si tu. Dobre. A teraz tu nestoj. Ešte kvôli tebe vyzerám lenivo.
dialogue.scarecrow_cornelius.say_friend_return.text,Oh. It's you. ...Good.,Ach. To si ty. ...Dobre.
dialogue.scarecrow_cornelius.say_pigeon_friend.text,"Good to see you too, [color=#8a6ca8]Cornelius[/color].","Aj teba rád vidím, [color=#8a6ca8]Cornelius[/color]."
dialogue.scarecrow_cornelius.say_nice.text,Don't make it weird. I still don't like birds. You're just... an exception.,Nerob z toho čudnosť. Vtáky stále nemám rád. Ty si len... výnimka.
dialogue.scarecrow_cornelius.say_return_greet.text,Oh. You again. At least you haven't eaten any crops. ...Have you?,Ach. Zasa ty. Aspoň si mi nezožral úrodu. ...Však?
dialogue.scarecrow_cornelius.say_pigeon_no.text,No. Still not interested in your crops.,Nie. Tvoja úroda ma stále nezaujíma.
dialogue.scarecrow_cornelius.option_compliment.label,You're doing a great job,Robíš to skvelo
dialogue.scarecrow_cornelius.say_pigeon_good.text,I mean it. You're doing a really good job out here.,Myslím to vážne. Robíš tu naozaj dobrú prácu.
dialogue.scarecrow_cornelius.say_touched.text,I... nobody has ever said that to me. Not once. ...Thank you.,Ja... to mi ešte nikto nikdy nepovedal. Ani raz. ...Ďakujem.
dialogue.scarecrow_cornelius.option_boring.label,Isn't this boring?,Nie je to nuda?
dialogue.scarecrow_cornelius.say_pigeon_bored.text,Don't you get bored? Just standing here all day?,Nenudí ťa to? Len tu celý deň stojíš?
dialogue.scarecrow_cornelius.say_boring_reply.text,[shake rate=30.0 level=20]BORING?![/shake] Every day is life and death out here! One moment of weakness and the crows take [i]EVERYTHING[/i]!,"[shake rate=30.0 level=20]NUDA?![/shake] Každý deň je tu boj na život a na smrť! Jediná chvíľa slabosti a vrany mi vezmú [i]VŠETKO[/i]!"
dialogue.scarecrow_cornelius.option_agnes.label,Agnes told me something...,Agnes mi niečo povedala...
dialogue.scarecrow_cornelius.say_pigeon_agnes.text,[color=#8a6ca8]Agnes[/color] told me you've been standing here for thirty years. Alone.,"[color=#8a6ca8]Agnes[/color] mi povedala, že tu stojíš už tridsať rokov. Sám."
dialogue.scarecrow_cornelius.say_quiet.text,...,...
dialogue.scarecrow_cornelius.say_thirty.text,...Thirty years. Nobody's counted but her.,"...Tridsať rokov. Nikto to nepočítal, len ona."
dialogue.scarecrow_cornelius.say_pigeon_long.text,That's a long time to stand alone.,To je dlhý čas stáť tu sám.
dialogue.scarecrow_cornelius.say_it_is.text,...It is.,...To je.
dialogue.scarecrow_cornelius.say_pause.text,You're alright. [i]FOR A BIRD.[/i],Si v pohode. [i]NA VTÁKA.[/i]
dialogue.scarecrow_cornelius.option_compliment_2.label,You're doing a great job,Robíš to skvelo
dialogue.scarecrow_cornelius.say_pigeon_good_2.text,I mean it. You're doing a really good job out here.,Myslím to vážne. Robíš tu naozaj dobrú prácu.
dialogue.scarecrow_cornelius.say_touched_2.text,I... nobody has ever said that to me. Not once. ...Thank you.,Ja... to mi ešte nikto nikdy nepovedal. Ani raz. ...Ďakujem.
dialogue.scarecrow_cornelius.option_boring_2.label,Isn't this boring?,Nie je to nuda?
dialogue.scarecrow_cornelius.say_pigeon_bored_2.text,Don't you get bored? Just standing here all day?,Nenudí ťa to? Len tu celý deň stojíš?
dialogue.scarecrow_cornelius.say_boring_reply_2.text,[shake rate=30.0 level=20]BORING?![/shake] Every day is life and death out here! One moment of weakness and the crows take [i]EVERYTHING[/i]!,"[shake rate=30.0 level=20]NUDA?![/shake] Každý deň je tu boj na život a na smrť! Jediná chvíľa slabosti a vrany mi vezmú [i]VŠETKO[/i]!"
